,Unnamed: 0,Date,Signals,Position,Trade,Portfolio
0,0,2020-01-02 00:00:00-05:00,1,Buy,,100000.0
1,1,2020-01-03 00:00:00-05:00,1,Buy,0.0,99027.80938652073
2,2,2020-01-06 00:00:00-05:00,1,Buy,0.0,99816.88165530401
3,3,2020-01-07 00:00:00-05:00,-1,Sell,-2.0,99347.44625370864
4,4,2020-01-08 00:00:00-05:00,1,Buy,2.0,99347.44625370864
5,5,2020-01-09 00:00:00-05:00,1,Buy,0.0,101457.67580175889
6,6,2020-01-10 00:00:00-05:00,1,Buy,0.0,101687.03743654769
7,7,2020-01-13 00:00:00-05:00,1,Buy,0.0,103859.52008886932
8,8,2020-01-14 00:00:00-05:00,1,Buy,0.0,102457.07748147887
9,9,2020-01-15 00:00:00-05:00,1,Buy,0.0,102017.99474339871
10,10,2020-01-16 00:00:00-05:00,-1,Sell,-2.0,103295.91064064772
11,11,2020-01-17 00:00:00-05:00,1,Buy,2.0,103295.91064064772
12,12,2020-01-21 00:00:00-05:00,-1,Sell,-2.0,102595.87387912981
13,13,2020-01-22 00:00:00-05:00,-1,Sell,0.0,102595.87387912981
14,14,2020-01-23 00:00:00-05:00,-1,Sell,0.0,102595.87387912981
15,15,2020-01-24 00:00:00-05:00,1,Buy,2.0,102595.87387912981
16,16,2020-01-27 00:00:00-05:00,1,Buy,0.0,99578.99082815915
17,17,2020-01-28 00:00:00-05:00,1,Buy,0.0,102396.02621127362
18,18,2020-01-29 00:00:00-05:00,1,Buy,0.0,104539.41765686015
19,19,2020-01-30 00:00:00-05:00,1,Buy,0.0,104387.93877117884
20,20,2020-01-31 00:00:00-05:00,1,Buy,0.0,99759.5192159138
21,21,2020-02-03 00:00:00-05:00,1,Buy,0.0,99485.53028157192
22,22,2020-02-04 00:00:00-05:00,1,Buy,0.0,102769.90873014886
23,23,2020-02-05 00:00:00-05:00,1,Buy,0.0,103607.9278786451
24,24,2020-02-06 00:00:00-05:00,-1,Sell,-2.0,104819.819462885
25,25,2020-02-07 00:00:00-05:00,1,Buy,2.0,104819.819462885
26,26,2020-02-10 00:00:00-05:00,-1,Sell,-2.0,105317.68574506162
27,27,2020-02-11 00:00:00-05:00,-1,Sell,0.0,105317.68574506162
28,28,2020-02-12 00:00:00-05:00,1,Buy,2.0,105317.68574506162
29,29,2020-02-13 00:00:00-05:00,-1,Sell,-2.0,104567.71398193565
30,30,2020-02-14 00:00:00-05:00,-1,Sell,0.0,104567.71398193565
31,31,2020-02-18 00:00:00-05:00,1,Buy,2.0,104567.71398193565
32,32,2020-02-19 00:00:00-05:00,-1,Sell,-2.0,106082.13273380345
33,33,2020-02-20 00:00:00-05:00,-1,Sell,0.0,106082.13273380345
34,34,2020-02-21 00:00:00-05:00,1,Buy,2.0,106082.13273380345
35,35,2020-02-24 00:00:00-05:00,1,Buy,0.0,101043.18886118926
36,36,2020-02-25 00:00:00-05:00,1,Buy,0.0,97620.61416637221
37,37,2020-02-26 00:00:00-05:00,1,Buy,0.0,99169.23450912413
38,38,2020-02-27 00:00:00-05:00,1,Buy,0.0,92686.7201186884
39,39,2020-02-28 00:00:00-05:00,1,Buy,0.0,92632.51893548411
40,40,2020-03-02 00:00:00-05:00,1,Buy,0.0,101256.6727800501
41,41,2020-03-03 00:00:00-05:00,1,Buy,0.0,98040.80289025308
42,42,2020-03-04 00:00:00-05:00,1,Buy,0.0,102588.41435910048
43,43,2020-03-05 00:00:00-05:00,1,Buy,0.0,99260.7366822136
44,44,2020-03-06 00:00:00-05:00,1,Buy,0.0,97942.55333084473
45,45,2020-03-09 00:00:00-04:00,1,Buy,0.0,90196.07792392568
46,46,2020-03-10 00:00:00-04:00,1,Buy,0.0,96692.13996620232
47,47,2020-03-11 00:00:00-04:00,1,Buy,0.0,93333.97214079289
48,48,2020-03-12 00:00:00-04:00,1,Buy,0.0,84116.80976068921
49,49,2020-03-13 00:00:00-04:00,1,Buy,0.0,94194.69750591757
50,50,2020-03-16 00:00:00-04:00,1,Buy,0.0,82076.83057456896
51,51,2020-03-17 00:00:00-04:00,1,Buy,0.0,85685.75686912282
52,52,2020-03-18 00:00:00-04:00,1,Buy,0.0,83588.16579119665
53,53,2020-03-19 00:00:00-04:00,1,Buy,0.0,82947.7246104548
54,54,2020-03-20 00:00:00-04:00,1,Buy,0.0,77681.73330337794
55,55,2020-03-23 00:00:00-04:00,1,Buy,0.0,76031.44740469572
56,56,2020-03-24 00:00:00-04:00,1,Buy,0.0,83659.34648652474
57,57,2020-03-25 00:00:00-04:00,1,Buy,0.0,83198.47779167892
58,58,2020-03-26 00:00:00-04:00,1,Buy,0.0,87576.64314202896
59,59,2020-03-27 00:00:00-04:00,1,Buy,0.0,83950.76377495284
60,60,2020-03-30 00:00:00-04:00,1,Buy,0.0,86346.54067930729
61,61,2020-03-31 00:00:00-04:00,1,Buy,0.0,86170.34717449102
62,62,2020-04-01 00:00:00-04:00,1,Buy,0.0,81636.3150850064
63,63,2020-04-02 00:00:00-04:00,1,Buy,0.0,82998.54681257933
64,64,2020-04-03 00:00:00-04:00,1,Buy,0.0,81805.74005182253
65,65,2020-04-06 00:00:00-04:00,1,Buy,0.0,88942.25913860195
